Name,Address,Rating,Total Reviews,Phone,Website,Opening Hours,Price Level,Types,Latitude,Longitude
Mike Leonard Home Inspections LLC,"8 Highland Ave, Maplewood, NJ 07040, USA",5,132,+1 973-801-0900,http://www.inspector.house/,"Monday: 9:00 AM – 9:00 PM, Tuesday: 9:00 AM – 9:00 PM, Wednesday: 9:00 AM – 9:00 PM, Thursday: 9:00 AM – 9:00 PM, Friday: 9:00 AM – 9:00 PM, Saturday: 9:00 AM – 9:00 PM, Sunday: 9:00 AM – 9:00 PM",,"point_of_interest, establishment",40.731638499999995,-74.256441
Reliable Home Inspection,"446 Morris Ave, Springfield, NJ 07081, USA",4.6,24,+1 908-964-2930,http://www.reliablehomeinspectors.com/,"Monday: 8:30 AM – 5:00 PM, Tuesday: 8:30 AM – 5:00 PM, Wednesday: 8:30 AM – 5:00 PM, Thursday: 8:30 AM – 5:00 PM, Friday: 8:30 AM – 5:00 PM, Saturday: 8:30 AM – 5:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.7148909,-74.3192442
Rooney Home Inspections,"49 Tuscan St, Maplewood, NJ 07040, USA",5,24,+1 973-996-8257,https://www.rooneyhomeinspections.com/,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 8:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 9:00 AM – 8:00 PM, Sunday: 10:00 AM – 5:00 PM",,"point_of_interest, establishment",40.7229221,-74.2618157
Brookfield Home Inspections,"118 Elm St, Montclair, NJ 07042, USA",5,48,+1 856-316-2531,https://www.brookfieldhomeinspections.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 10:00 AM – 4:00 PM, Sunday: 10:00 AM – 4:00 PM",,"point_of_interest, establishment",40.8043243,-74.2188024
"DETAIL HOME INSPECTIONS, LLC","601 US-206 Suite 26-306, Hillsborough Township, NJ 08844, USA",5,44,+1 908-552-1897,http://detailhomeinspections.com/,"Monday: 7:00 AM – 11:00 PM, Tuesday: 7:00 AM – 11:00 PM, Wednesday: 7:00 AM – 11:00 PM, Thursday: 7:00 AM – 11:00 PM, Friday: 7:00 AM – 11:00 PM, Saturday: 7:00 AM – 11:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.5009118,-74.6434069
Immaculate Home Inspections,"10 Keimel Court, West Orange, NJ 07052, USA",4.8,20,+1 908-599-2992,https://immaculatehomeinspection.com/,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.7709706,-74.2932714
Signature Home Inspections,"9 Vivian St, Lincoln Park, NJ 07035, USA",4.9,182,+1 845-321-0246,https://www.signaturehomeinspectionsnj.com/,"Monday: 9:00 AM – 6:00 PM, Tuesday: 9:00 AM – 6:00 PM, Wednesday: 9:00 AM – 6:00 PM, Thursday: 9:00 AM – 6:00 PM, Friday: 9:00 AM – 6:00 PM, Saturday: 8:00 AM – 2:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.9344465,-74.30716919999999
iKenInspect Home Inspection,"8 Dawson Rd, Mendham Township, NJ 07945, USA",5,111,+1 973-610-1031,http://www.ikeninspect.com/,"Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 10:00 AM – 4:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.820360099999995,-74.6138462
Meyers Home Inspections,"35 Glenside Rd, South Orange Village, NJ 07079, USA",5,6,+1 973-464-4449,http://www.njhomeinspectionengineers.com/,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 10:00 AM – 4:30 PM",,"point_of_interest, establishment",40.75722,-74.2622927
DiR Home Consulting & Inspections,"694 Fairmount Ave, Chatham Township, NJ 07928, USA",4,12,+1 551-655-5500,http://www.dirinspect.com/,"Monday: 7:00 AM – 9:00 PM, Tuesday: 7:00 AM – 9:00 PM, Wednesday: 7:00 AM – 9:00 PM, Thursday: 7:00 AM – 9:00 PM, Friday: 7:00 AM – 9:00 PM, Saturday: 7:00 AM – 9:00 PM, Sunday: 7:00 AM – 9:00 PM",,"point_of_interest, establishment",40.709560599999996,-74.42570769999999
All pro home inspections,"10 Inwood Pl, Maplewood, NJ 07040, USA",4.3,6,+1 973-868-4979,https://www.allprohome.com/,"Monday: 8:00 AM – 7:00 PM, Tuesday: 8:00 AM – 7:00 PM, Wednesday: 8:00 AM – 7:00 PM, Thursday: 8:00 AM – 7:00 PM, Friday: 8:00 AM – 7:00 PM, Saturday: 8:00 AM – 7:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.731771699999996,-74.27784
Optimal Home Inspections,"2600 John F. Kennedy Blvd, Jersey City, NJ 07306, USA",4.8,35,+1 551-261-1264,https://optimalhomeinspections.com/,"Monday: 8:00 AM – 9:00 PM, Tuesday: 8:00 AM – 9:00 PM, Wednesday: 8:00 AM – 9:00 PM, Thursday: 8:00 AM – 9:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 9:00 PM",,"consultant, point_of_interest, establishment",40.7253544,-74.07288679999999
Bourbon and Branch,"155 W 33rd St, New York, NY 10001, USA",4.4,293,+1 929-419-4951,https://bourbonandbranchnyc.com/,"Monday: 11:30 AM – 12:00 AM, Tuesday: 11:30 AM – 12:00 AM, Wednesday: 11:30 AM – 1:00 AM, Thursday: 11:30 AM – 2:00 AM, Friday: 11:30 AM – 2:00 AM, Saturday: 11:00 AM – 3:00 AM, Sunday: 11:00 AM – 12:00 AM",,"bar_and_grill, bar, american_restaurant, restaurant, food, point_of_interest, establishment",40.75030160000001,-73.9904585
Shukette,"230 9th Ave, New York, NY 10001, USA",4.7,1422,+1 212-242-1803,http://www.shukettenyc.com/,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 5:00 – 11:00 PM, Sunday: 4:00 – 10:00 PM",,"middle_eastern_restaurant, mediterranean_restaurant, restaurant, food, point_of_interest, establishment",40.747154599999995,-74.0005218
Zou Zou’s,"385 9th Ave Suite 85, New York, NY 10001, USA",4.3,998,+1 212-380-8585,http://www.zouzousnyc.com/,"Monday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Tuesday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Wednesday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Thursday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 11:00 PM, Saturday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM",PRICE_LEVEL_MODERATE,"mediterranean_restaurant, bar_and_grill, bar, restaurant, food, point_of_interest, establishment",40.7528364,-73.99860079999999
Mustang Harry's,"352 7th Ave, New York, NY 10001, USA",4.4,2286,+1 212-268-8930,https://www.mustangharrys.com/,"Monday: 11:00 AM – 3:00 AM, Tuesday: 11:00 AM – 3:00 AM, Wednesday: 11:00 AM – 3:00 AM, Thursday: 11:00 AM – 3:00 AM, Friday: 11:00 AM – 3:00 AM, Saturday: 11:00 AM – 3:00 AM, Sunday: 11:00 AM – 3:00 AM",PRICE_LEVEL_MODERATE,"restaurant, bar, food, point_of_interest, establishment",40.7483311,-73.9929116
The Harold Bistro,"1271 Broadway, New York, NY 10001, USA",4.2,1682,+1 212-686-1888,http://www.theharoldnyc.com/,"Monday: 8:00 AM – 10:00 PM, Tuesday: 8:00 AM – 10:00 PM, Wednesday: 8:00 AM – 10:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 10:00 PM",PRICE_LEVEL_MODERATE,"restaurant, food, point_of_interest, establishment",40.748214,-73.988376
L'Amico,"849 6th Ave, New York, NY 10001, USA",4.2,1599,+1 212-201-4065,http://www.lamico.nyc/,"Monday: 7:00 – 10:00 AM, 11:30 AM – 2:30 PM, 5:00 – 10:00 PM, Tuesday: 7:00 – 10:00 AM, 11:30 AM – 2:30 PM, 5:00 – 10:00 PM, Wednesday: 7:00 – 10:00 AM, 11:30 AM – 2:30 PM, 5:00 – 10:00 PM, Thursday: 7:00 – 10:00 AM, 11:30 AM – 2:30 PM, 5:00 – 10:00 PM, Friday: 7:00 – 10:00 AM, 11:30 AM – 2:30 PM, 5:00 – 10:00 PM, Saturday: 7:00 – 10:00 AM, 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Sunday: 7:00 – 10:00 AM, 11:30 AM – 3:00 PM, 5:00 – 10:00 PM",PRICE_LEVEL_MODERATE,"italian_restaurant, restaurant, food, point_of_interest, establishment",40.7469306,-73.99008909999999
The Wilson,"132 W 27th St, New York, NY 10001, USA",4.3,735,+1 212-529-2671,https://eatatthewilson.com/nyc/,"Monday: 7:00 AM – 11:00 PM, Tuesday: 7:00 AM – 11:00 PM, Wednesday: 7:00 AM – 11:00 PM, Thursday: 7:00 AM – 11:00 PM, Friday: 7:00 AM – 11:00 PM, Saturday: 7:00 AM – 12:00 AM, Sunday: 7:00 AM – 11:00 PM",PRICE_LEVEL_MODERATE,"seafood_restaurant, brunch_restaurant, breakfast_restaurant, bar, american_restaurant, restaurant, food, point_of_interest, establishment",40.7460204,-73.9927905
Anytime Kitchen,"23 W 32nd St 3rd floor, New York, NY 10001, USA",4.6,1981,+1 646-669-7733,https://www.anytimenyc.com/,"Monday: 11:30 AM – 3:00 PM, 5:00 PM – 1:00 AM, Tuesday: 11:30 AM – 3:00 PM, 5:00 PM – 1:00 AM, Wednesday: 11:30 AM – 3:00 PM, 5:00 PM – 1:00 AM, Thursday: 11:30 AM – 3:00 PM, 5:00 PM – 1:00 AM, Friday: 11:30 AM – 3:00 PM, 5:00 PM – 3:30 AM, Saturday: 11:30 AM – 3:00 PM, 5:00 PM – 3:30 AM, Sunday: 11:30 AM – 3:00 PM, 5:00 PM – 1:00 AM",PRICE_LEVEL_MODERATE,"korean_restaurant, bar, american_restaurant, restaurant, food, point_of_interest, establishment",40.747774899999996,-73.9867579
Upland,"345 Park Ave S, New York, NY 10010, USA",4.5,2224,+1 212-686-1006,https://uplandnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,"Monday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Tuesday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Wednesday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Thursday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Friday: 11:30 AM – 3:00 PM, 5:00 – 11:00 PM, Saturday: 10:00 AM – 3:00 PM, 5:00 – 11:00 PM, Sunday: 10:00 AM – 3:00 PM, 5:00 – 9:00 PM",PRICE_LEVEL_EXPENSIVE,"restaurant, meal_takeaway, italian_restaurant, bar, american_restaurant, food, point_of_interest, establishment",40.7419313,-73.984644
Friedman's Herald Square,"138 W 31st St, New York, NY 10001, USA",4.4,3941,+1 212-971-9400,http://www.friedmansrestaurant.com/,"Monday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Tuesday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Wednesday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Thursday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Friday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Saturday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM, Sunday: 8:30 AM – 3:45 PM, 4:30 – 9:00 PM",PRICE_LEVEL_MODERATE,"american_restaurant, hamburger_restaurant, vegetarian_restaurant, brunch_restaurant, wine_bar, breakfast_restaurant, meal_takeaway, bar, restaurant, food, point_of_interest, establishment",40.7485089,-73.9908866
Kabooz's Bar & Grill,"Penn Station, upper level, New York, NY 10001, USA",4.5,544,+1 212-760-0848,http://www.kaboozs.com/,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",PRICE_LEVEL_MODERATE,"bar_and_grill, bar, american_restaurant, restaurant, food, point_of_interest, establishment",40.7503071,-73.9921339
Chalong NYC,"749 9th Ave, New York, NY 10019, USA",4.8,1427,+1 212-466-6456,http://www.chalongnyc.com/,"Monday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Tuesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Wednesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Thursday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Friday: 12:00 – 3:30 PM, 5:00 – 11:00 PM, Saturday: 12:00 – 3:30 PM, 5:00 – 11:00 PM, Sunday: 12:00 – 3:30 PM, 5:00 – 10:00 PM",PRICE_LEVEL_MODERATE,"thai_restaurant, restaurant, food, point_of_interest, establishment",40.763955599999996,-73.98899449999999
Pennsylvania 6,"132 W 31st St, New York, NY 10001, USA",4.3,1029,+1 212-727-3666,http://pennsylvania6nyc.com/,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 11:30 AM – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 10:00 AM – 9:00 PM",PRICE_LEVEL_MODERATE,"american_restaurant, steak_house, brunch_restaurant, pizza_restaurant, wine_bar, bar, restaurant, food, point_of_interest, establishment",40.7483333,-73.99083329999999
estiatorio Milos Hudson Yards,"20 Hudson Yards Fifth Floor, New York, NY 10001, USA",4.4,865,+1 646-907-1970,https://www.estiatoriomilos.com/location/nyhudsonyards/,"Monday: 11:30 AM – 3:30 PM, 4:30 – 11:30 PM, Tuesday: 11:30 AM – 3:30 PM, 4:30 – 11:30 PM, Wednesday: 11:30 AM – 3:30 PM, 4:30 – 11:30 PM, Thursday: 11:30 AM – 3:30 PM, 4:30 – 11:30 PM, Friday: 11:30 AM – 3:30 PM, 4:30 – 11:30 PM, Saturday: 12:00 – 11:30 PM, Sunday: 12:00 – 11:30 PM",PRICE_LEVEL_VERY_EXPENSIVE,"seafood_restaurant, greek_restaurant, mediterranean_restaurant, fine_dining_restaurant, restaurant, food, point_of_interest, establishment",40.7538419,-74.00107679999999
NAYA,"351 W 33rd St, New York, NY 10001, USA",4.3,149,+1 929-946-8406,https://www.eatnaya.com/,"Monday: 10:30 AM – 8:30 PM, Tuesday: 10:30 AM – 8:30 PM, Wednesday: 10:30 AM – 8:30 PM, Thursday: 10:30 AM – 8:30 PM, Friday: 10:30 AM – 8:30 PM, Saturday: 11:00 AM – 7:00 PM, Sunday: 11:00 AM – 7:00 PM",PRICE_LEVEL_INEXPENSIVE,"middle_eastern_restaurant, mediterranean_restaurant, restaurant, food, point_of_interest, establishment",40.7516135,-73.99587199999999
